feature,importance
PageValue,0.8170761036943501
ProductPageTime,0.06330007011846411
BounceRate,0.049694589036795606
ExitRate,0.02991468184255849
CustomerType_returning_visitor,0.005882981040543217
TrafficSource_TS_2,0.005166848674994014
CustomerType_new_visitor,0.004558393810137445
GeographicRegion_GR_1,0.0033938164011479803
SpecialDayProximity,0.00295526626824623
TrafficSource_TS_10,0.00255594198150695
TrafficSource_TS_8,0.002251641780921527
TrafficSource_TS_5,0.0020786371297836803
GeographicRegion_GR_-2,0.0017325002977330323
GeographicRegion_GR_7,0.0013951700077916437
GeographicRegion_GR_3,0.0013902481462659845
TrafficSource_TS_13,0.001064266203332124
TrafficSource_TS_11,0.0007932000762699785
TrafficSource_TS_16,0.0006608556141940523
GeographicRegion_GR_-8,0.0006555935175375667
TrafficSource_TS_1,0.0005606551531736188
TrafficSource_TS_4,0.0005301410100798628
GeographicRegion_GR_-5,0.0005116049990739683
GeographicRegion_GR_6,0.00047094804739786027
GeographicRegion_GR_2,0.0004291478353355057
GeographicRegion_GR_-7,0.0002710949837565693
TrafficSource_TS_20,0.0002642423036821871
TrafficSource_TS_3,0.00011359596437172172
GeographicRegion_GR_-4,0.00010273690020885184
CustomerType_unknown,9.111953853940977e-05
GeographicRegion_GR_-6,7.639405671536386e-05
GeographicRegion_GR_-1,5.751356509132794e-05
TrafficSource_TS_14,0.0
TrafficSource_TS_12,0.0
CustomerType_other,0.0
TrafficSource_TS_6,0.0
TrafficSource_TS_18,0.0
TrafficSource_TS_17,0.0
TrafficSource_TS_15,0.0
TrafficSource_TS_19,0.0
TrafficSource_TS_9,0.0
TrafficSource_TS_7,0.0
GeographicRegion_GR_-9,0.0
GeographicRegion_GR_-3,0.0
GeographicRegion_GR_5,0.0
GeographicRegion_GR_4,0.0
GeographicRegion_GR_8,0.0
GeographicRegion_GR_9,0.0
