threshold,f1,precision,recall,accuracy
0.25000000000000006,0.6689576174112256,0.5934959349593496,0.7664041994750657,0.8828061638280617
0.30000000000000004,0.6650717703349283,0.610989010989011,0.7296587926509186,0.8864557988645579
0.20000000000000004,0.6616052060737527,0.5637707948243993,0.800524934383202,0.8734793187347932
0.3500000000000001,0.6516290726817042,0.6235011990407674,0.6824146981627297,0.8872668288726683
0.15000000000000002,0.6514047866805411,0.5396551724137931,0.821522309711286,0.8641524736415247
0.40000000000000013,0.6490765171503958,0.6525198938992043,0.6456692913385826,0.8921330089213301
0.45000000000000007,0.6321678321678321,0.6766467065868264,0.5931758530183727,0.8933495539334956
0.5000000000000001,0.611764705882353,0.6956521739130435,0.5459317585301837,0.8929440389294404
0.5500000000000002,0.5975232198142415,0.7283018867924528,0.5065616797900262,0.894566098945661
0.1,0.5956284153005464,0.4560669456066946,0.8582677165354331,0.8199513381995134
0.6000000000000002,0.5544554455445545,0.7466666666666667,0.4409448818897638,0.8905109489051095
0.6500000000000001,0.5370051635111877,0.78,0.4094488188976378,0.8909164639091647
0.7000000000000002,0.4927536231884058,0.7953216374269005,0.3569553805774278,0.8864557988645579
0.7500000000000002,0.4699248120300752,0.8278145695364238,0.32808398950131235,0.8856447688564477
0.8000000000000002,0.42,0.8823529411764706,0.2755905511811024,0.8824006488240065
0.8500000000000002,0.2907488986784141,0.9041095890410958,0.1732283464566929,0.8694241686942417
0.9000000000000002,0.11330049261083744,0.92,0.06036745406824147,0.8540145985401459
